Status;Ort/sonstige Bezeichnung;Feldname;Name auf der Karte;Bundesland;Koordinaten;Art der Nutzung;Mwtherm (installierte Leistung geothermisch);MWel;max. Temperatur in °C;Teufe in m (TVD);Förderrate (l/s) (maximal);Jahresproduktion geothermische Wärme GWh/a;Jahresproduktion geothermischer Strom GWh/a;Jahr d. Inbetrieb-nahme;Entwicklung/ Aufsuchungserlaubnis;Output;Anzahl der Bohrungen;Hauptnutzung;Nebennutzung;Reservoir ;Betreiberstruktur;Region;News zu Projekten;Betreiber Name;Zusatzinfos;;;
A_Projekt in Betrieb;;;Garching a.d. Alz ;Bayern;48.11868935553278, 12.571571887105844;Hydrogeothermie;7;5,2;125;3.837;125;;24,45;2021;;Wärme & Strom;Dublette;Strom;Fernwärme;;privater Investor;Molassebecken;https://bruck.silenos-energy.com/databases/internet/_public/content30.nsf/web30?Openagent&id=96F6FA72066B984FC12587C70034B4F1;;;;;
A_Projekt in Betrieb;;;Garching bei München;Bayern;48.26126192560934, 11.66291528907552;Hydrogeothermie;9,8;;75;2226,3;100;46,62;;2011;;Wärme;Dublette;Fernwärme;;Kalkstein;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Holzkirchen;Bayern;47.88189030335666, 11.719357321494547;Hydrogeothermie;5;3,6;157;5.078;65;12,253;21,624;2019;2019 ORC-Anlage liefert Strom -> Heizkraftwerk;Wärme & Strom;Dublette;Fernwärme;Strom;Kalkstein, dolomit.;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Ismaning;Bayern;48.22970537486774, 11.697420933442515;Hydrogeothermie;7,2;;78;1.906;85;46,8;;2013;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Kirchstockach;Bayern;48.02701510509703, 11.687849845382795;Hydrogeothermie;10;5,5;125;3881,6;140,5;13,4;24,5;2013;2021 durch Wärmeauskopplung -> Heizkraftwerk;Wärme & Strom;Dublette;Strom;Fernwärme;Kalkstein, dolomit.;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Kirchweidach;Bayern;48.09957536362663, 12.645622608546594;Hydrogeothermie;30,6;4,4;128;3.421;80;95;;2013;2021 geplante Erweiterung der Stromproduktion durch ORC-Anlage, zurzeit unklar, ob es die Erweiterung stattgefunden hat, Bohrungen gestartet (Jan 2023);Wärme & Strom;Dublette;Fernwärme;Gewächshaus;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;;;München-Riem;Bayern;48.134697803069514, 11.716111846935974;Hydrogeothermie;13;;98,4;2.747;87;60,76;;2004;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Heizkraftwerk Süd/Schäftlarnstraße;;München-Sendling;Bayern;48.116300282237844, 11.557664351044714;Hydrogeothermie;50;;107;2809,18;115;375,46;;2021;;Wärme;7 Bohrungen;Fernwärme;;;;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Oberhaching-Laufzorn/Grünwald;Bayern;48.01998864023229, 11.562880508759404;Hydrogeothermie;40;4,3;135;3755,2;132;61,619;13,345;2011;2014 ORC-Anlage liefert Strom -> Heizkraftwerk;Wärme & Strom;Dublette;Fernwärme;Strom;Kalkstein, dolomit.;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Poing;Bayern;48.16723139267549, 11.791471691465471;Hydrogeothermie;11,5;;85;3.014;100;50,9;;2012;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Pullach;Bayern;48.067708753419325, 11.525744806831463;Hydrogeothermie;16;;108;3.443;87;59,274;;2005;2011 weitere Bohrung zur bestehenden Dublette hinzugefügt  ;Wärme;Triplette;Fernwärme;;Kalke und Dolomite;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Sauerlach;Bayern;47.97278162324089, 11.668797058077113;Hydrogeothermie;4;5;141;4.480;120;9,9;25,6;2013;;Wärme & Strom;Triplette;Strom;Fernwärme;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Simbach-Braunau;Bayern;48.257066211392576, 13.010321196103183;Hydrogeothermie;9,4;;81,7;1.942;90;50,732;;2000;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;GER + AUT Gemeinschaftsprojekt;;;
A_Projekt in Betrieb;;;Straubing;Bayern;48.875263721244984, 12.555202373991184;Hydrogeothermie;2,1;;36,5;824,8;31,4;2,9;;1999;;Wärme;Dublette;2 Nahwärmenetze;Balneologie;Kalkstein, dolomit.;kommunal;Molassebecken;GeotIS fragt es nicht mehr ab, da sie nicht antworten;;;;;
A_Projekt in Betrieb;;;Taufkirchen/Oberhaching;Bayern;48.02347753735028, 11.620680194130214;Hydrogeothermie;40;0;136;3.696;120;63;;2015;;Wärme;Dublette;Strom: Die Kalina Anlage (errichtet 2018) wurde abgebaut, 2024 soll die neue ORC-Anlage in Betrieb gehen. Deshalb zur Zeit 0;Fernwärme;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Traunreut;Bayern;47.973032611148284, 12.579492009460596;Hydrogeothermie;13,5;5,5;120;4645,8;168,2;35,408;30,142;2014;2016 Fertigstellung einer ORC-Anlage -> Heizkraftwerk;Wärme & Strom;Dublette;Fernwärme;Strom;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Unterföhring;Bayern;48.1933864433896, 11.65806130750904;Hydrogeothermie;10;;87;2.124;75;31;;2009;;Wärme;Dublette;Fernwärme;;;privater Investor;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Unterföhring II;Bayern;48.19419030042086, 11.65830471015045;Hydrogeothermie;11,3;;93;2.341;90;45;;2014;2. Dublette von Unterföhring;Wärme;Dublette;Fernwärme;;;privater Investor;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Unterhaching;Bayern;48.05707719867894, 11.597498830573379;Hydrogeothermie;38;;126;3.390;140;170,04;;2007;2009-2017 Stromproduktion durch Kalina-Anlage;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Unterschleißheim;Bayern;48.27229792099072, 11.580536621795996;Hydrogeothermie;7;;80;1.960;100;35,239;;2003;;Wärme;Dublette;Fernwärme;Balneologie;Kalkstein;privater Investor;Molassebecken;;;;;;
A_Projekt in Betrieb;;;Waldkraiburg;Bayern;48.20130287457706, 12.420294318053308;Hydrogeothermie;14;;111,5;2.718;80;40,209;;2012;;Wärme;Dublette;Fernwärme;;;kommunal;Molassebecken;;;;;;
A_Projekt in Betrieb;Berlin;;Berlin (Reichstag);Berlin;52.5186333,13.3748185;Aquiferspeicher;;;70;300;27,8;;;1999;;Wärme;;;;;;;;;;;;
A_Projekt in Betrieb;;;Neuruppin;Brandenburg;52.92971670587752, 12.830142096367828;Hydrogeothermie;1,4;;63,4;1.702;3,9;1,1929;;2007;;Wärme;Dublette;Gebäudeheizung (Hotelkomplex und Bad);Balneologie;Feinsandstein;kommunal;Nord.Becken;;;;;;
A_Projekt in Betrieb;;;Neubrandenburg;Mecklenburg-Vorpommern;53.549095553624845, 13.235606820955386;Hydrogeothermie / Aquiferspeicher;;;80;1.268;28;;;1987;2004 Fertigstellung Aquiferspeicher;Wärme;Dublette;Speicher;;O.Keuper (Rhaet);kommunal;Nord.Becken;https://www.neu-sw.de/pressemeldungen/waerme-aus-der-erde-neu-sw-baut-aquiferspeicher-zu-tiefengeothermie-anlage-um;;;;;
A_Projekt in Betrieb;;;Neustadt Glewe;Mecklenburg-Vorpommern;53.370086444791845, 11.58624277017484;Hydrogeothermie;4;;99;2.450;35;13,1;;1994;bis 2012 Stromerzeugung mit ORC-Anlage;Wärme;Dublette;Fernwärme;;O.Keuper (Rhaet);kommunal;Nord.Becken;;;;;;
A_Projekt in Betrieb;;;Schwerin;Mecklenburg-Vorpommern;53.61160506954665, 11.378065334267013;Hydrogeothermie;5,7;;56;1.311;41,6;;;2023;;Wärme;Dublette;Fernwärme;;Oberkeuper (Rhät);kommunal;Nord.Becken;https://www.stadtwerke-schwerin.de/home/ueber_uns/geothermie/Geothermie-in-Schwerin-Lankow-Ablauf-und-Ergebnisse,swsr_id,786,swsr_inhalt_id,2450.html;Stadtwerke Schwerin;Erhöhung der Temperatur mit Großwärmepumpen;;;
A_Projekt in Betrieb;;;Waren;Mecklenburg-Vorpommern;53.50846808868685, 12.706866064335136;Hydrogeothermie;1,3;;63;1.565;17;1,34;;1984;Seit 2012 auch Balneologie;Wärme;Dublette;Fernwärme;Balneologie;Sandstein;kommunal;Nord.Becken;;;;;;
A_Projekt in Betrieb;;;Arnsberg;Nordrhein-Westfalen;51.431306202705876, 8.003896188222733;Sonde;0,35;;90;2.835;20;2,1;;2012;;Wärme;Tiefe Erdwärmesonde;"Gebäudeheizung vom Freibad ""Nass""";;Sandstein;kommunal;;;;;;;
A_Projekt in Betrieb;;;Essen;Nordrhein-Westfalen;51.461315, 7.016736;Grubenwasser;0,8;;35;1200;bis 300;;;2010;;Wärme;;-;;;;;https://link.springer.com/article/10.1007/s00767-020-00460-0;;Essen 51, Schacht Marie;;;
A_Projekt in Betrieb;;;Marl;Nordrhein-Westfalen;51.665782, 7.131589;Sonde;0,06;;21;700;;;;2010;;Wärme;;-;;;;;https://norddeutsche-geothermietagung.de/vortraege/2022/11_lohmar_potenzial_geothermische_nachnutzung_sigmundshall.pdf;;"Zeche Auguste
Victoria";;;
A_Projekt in Betrieb;;;Insheim;Rheinland-Pfalz;49.15363259926349, 8.153275626628721;Hydrogeothermie;;4,8;165;3.600;80;;21;2012;;Strom;Dublette;Strom;;;privater Investor;Oberrheingraben;;;für spätere Auflagen: 2023 Anfang Ausbau Fernwärmenetz geplant;;;
A_Projekt in Betrieb;;;Landau ;Rheinland-Pfalz;49.18380273312805, 8.121074550156372;Hydrogeothermie;5;1,8;159;3.291;70;0,898;7,72;2007;;Wärme & Strom;Dublette;Strom;Fernwärme;;privater Investor;Oberrheingraben;;;;;;
B_Projekt in Bau;Aachen;"""Weisweiler""";Aachen-Weisweiler;Nordrhein-Westfalen;50.82706913379027, 6.297889113612327;Sonde;;;150;5000;;;;;27.02.2020 - 26.02.2025;;;;;;;;;RWE Power Aktiengesellschaft in Köln und Essen, Forschung durch Fraunhofer IEG;;;;
B_Projekt in Bau;Polling;GT Tüßling;Tüßling;Bayern;48.21203974640237, 12.60113695637902;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;MTU;Karlsfeld Ost;München Allach ;Bayern;48.21324297540055, 11.480947708966209;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;https://www.mtu.de/de/ueber-uns/corporate-responsibility/produktion-instandsetzung/geothermie/;;;;;
B_Projekt in Bau;Kirchweidach ;Kirchweidach II ;Kirchweidach II ;Bayern;48.084932918448494, 12.645248863893956;Hydrogeothermie;;;;;;;;;;;;;;;;Molassebecken;https://kirchweidach.de/kirchweidach/startseite/aktuelles/bohrstart-am-geothermieprojekt-kirchweidach-ii.html;;;;;
B_Projekt in Bau;Laufzorn;Laufzorn II;Laufzorn II;Bayern;48.01460519793755, 11.553430596269715;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.geothermie.de/aktuelles/nachrichten/news-anzeigen/erdwaerme-gruenwald-erhaelt-61-millionen-euro-bundesfoerderung-fuer-neue-geothermie-bohrung?tx_news_pi1%5BactbackPid%5D=137&cHash=45cea28bc5612327cf7aba755f33c620;;;;;
B_Projekt in Bau;Neuperlach, Michaelibad;Neuperlach;Neuperlach (Michaelibad);Bayern;48.11672914961414, 11.636773335568694;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;Krefeld;Salvea - Lust auf grüne Energie;Krefeld;Nordrhein-Westfalen;51.34139015556271, 6.536367033083359;Forschung;;;;;;;;;;;;;;;;;https://www.krefeld.de/de/inhalt/geologischer-dienst-plant-forschungsbohrung-in-krefeld/;;;;;
B_Projekt in Bau;;;Graben-Neudorf;Baden-Württemberg;49.16376, 8.49329;Hydrogeothermie;;;;;;;;2024;;;;;;53 Grad Celsius;privater Investor;Oberrheingraben;https://www.deutsche-erdwaerme.de/graben-neudorf/;Vulcan Energy/Geohardt;;;;
B_Projekt in Bau;;;Geretsried;Bayern;47.8710290510463, 11.434471292527942;Geschlossenes tiefengeothermisches System;64;8,2;155,3;4.736;;;;;;;;;Dolomit;;privater Investor;Molassebecken;;;Eavor-Loop;;;
B_Projekt in Bau;Berlin;;Reallabor Geospeicher Berlin;Berlin;52.425768,13.526191;Aquiferspeicher;;;ca. 90 ;360 - 390;;;;;;;;;;;;;;;;;;
B_Projekt in Bau;;;Neuruppin;Brandenburg;52.95453749288014, 12.825719474771933;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.geothermie.de/aktuelles/nachrichten/news-anzeigen/bohrung-in-neuruppin-erreicht-500-meter-marke?tx_news_pi1%5BactbackPid%5D=137&cHash=45cea28bc5612327cf7aba755f33c620;;;;;
B_Projekt in Bau;;;Potsdam;Brandenburg;52.384704, 13.076484 ;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
B_Projekt in Bau;;;Hamburg-Wilhelmsburg;Hamburg;53.49980094145574, 10.018523508436584;Hydrogeothermie;;;;;;;;;;;;;;;;Nord.Becken;;;;;;
B_Projekt in Bau;;;Darmstadt;Hessen;49.87154589534785, 8.648628854564983;"Erdwärmesondenspeicher
/ Forschung";;;;;;;;;;;;;;;;;Projektinfo: https://www.geo.tu-darmstadt.de/geothermie/forschungsprojekte_ag/laufende_projekte_ag/skews.de.jsp;;;;;
B_Projekt in Bau;;;Frankfurt am Main;Hessen;50.10978686925627, 8.67630782564379;Forschung;;;;;;;;;;;;;;;;;letzte News: https://frankfurt.de/de-de/aktuelle-meldung/energiereferat/geothermie-forschungsbohrung-rebstock/;;;;;
B_Projekt in Bau;Bochum,  Mark 51°7;;Bochum (Stadtwerke);Nordrhein-Westfalen;51.468190, 7.269939;Grubenwasser;;;;;;;;;27.08.2022 bis 26.08.2027;;;;;;;;;Stadtwerke Bochum Holding GmbH;;;;
C_Forschungsprojekte;;Seismik Giga-M;Seismik Giga-M;Bayern;48.123769490231034, 11.570897778594139;Forschung;;;;;;;;;;;;;;;;;;;;;;
C_Forschungsprojekte ;Bad Urach;;Bad Urach;Baden-Württemberg;48.50699119661484, 9.373306303211436;Petrothermale Geothermie;;;;;;;;;;;;;;;;;;;;;;
C_Forschungsprojekte ;;;Mauerstetten;Bayern;47.88280454097704, 10.654513269806042;Forschung;;;130;4.080;;;;;;;;;;;;Molassebecken;;;;;;
C_Forschungsprojekte ;;;Groß Schönebeck;Brandenburg;52.90381696285989, 13.601612176917618;Forschung;;1;150;4.309;;;;2011 ;;;2;;;;;Nord.Becken;;;;;;
C_Forschungsprojekte ;;;Hannover;Niedersachsen;52.40538249243043, 9.826339230222407;Forschung;2;;169;3.820;;;;;;;;;;;;Nord.Becken;;;;;;
C_Forschungsprojekte ;;;Horstberg;Niedersachsen;52.90333311324816, 10.328054251558454;Forschung;;;159;3.920;;;;;;;;;;;;Nord.Becken;;;;;;
C_Forschungsprojekte ;;;Alsdorf;Nordrhein-Westfalen;50.871812, 6.162400;Forschung;;;26;900;;;;2018;;;;;;;;Nord.Becken;;;;;;
C_Forschungsprojekte ;;;Zwickau;Sachsen;50.716949, 12.496606;Grubenwasser;;;26;628;;;;2018;;Wärme;;;;;;;https://www.saechsische.de/nachhaltigkeit/sachsen-waerme-reservoir-themalwasser-vogtland-waerme-aus-grosser-tiefe-kommunen-suchen-klimaschonende-loesung-5894696.html;;;;;
D_Projekt in Planung;Bad Dürkheim;" ""Flaggenturm""";"Bad Dürkheim ""Flaggenturm""";Rheinland-Pfalz;49.45981824086134, 8.16721654909178;Hydrogeothermie;;;;;;;;;;;;;;;;;;Vulcan Energie Ressourcen GmbH;;;;
D_Projekt in Planung;Haßloch;" ""Taro""";"Haßloch ""Taro""";Rheinland-Pfalz;49.351968319295814, 8.265765833813434;Hydrogeothermie;;;;;;;;;;;;;;;;;;Vulcan Energie Ressourcen GmbH;;;;
D_Projekt in Planung;Aachen;"""Aachen-Weisweiler""";Aachen-Weisweiler;Nordrhein-Westfalen;50.828488845357484, 6.324635686424948;Forschung;;;;;;;;;25.08.2020-24.08.2025;;;;;;;;;;;;;
D_Projekt in Planung;Ahnsbeck;"""Ahnsbeck""";Ahnsbeck;Niedersachsen;52.61074585425046, 10.28406165249926;Hydrogeothermie;;;;;;;;;;;;;;;;;;Baker Hughes INTEQ GmbH;;;;
D_Projekt in Planung;Celle;"""Altencelle""";Celle;Niedersachsen;52.595044971923706, 10.113514579163345;Hydrogeothermie;;;;;;;;;;;;;;;;;https://www.lbeg.niedersachsen.de/aktuelles/pressemitteilungen/landkreis-celle-baker-hughes-inteq-gmbh-bekommt-feld-altencelle-zugeteilt-lbeg-erteilt-erlaubnis-zur-aufsuchung-von-erdwarme-221713.html;Baker Hughes INTEQ GmbH;;;;
D_Projekt in Planung;Altwarmbüchen;"""Altwarmbüchener Moor""";Altwarmbüchen;Niedersachsen;52.42738273502441, 9.893252782854162;Hydrogeothermie;;;;;;;;; 15.11.2022 bis 14.11.2025;;;;;;;Nord.Becken;;NDEWG GmbH Fiskediek 7a 49809 Lingen (Ems);;;;
D_Projekt in Planung;Bad Fallingbostel;"""Bad Fallingbostel""";Bad Fallingbostel;Niedersachsen;52.863515866374144, 9.695822969070726;Hydrogeothermie;;;;;;;;;;;;;;;;;;Mondelez Deutschland Snacks Production GmbH & Co. KG;;;;
D_Projekt in Planung;Barnstorf;"""Barnstorf""";Barnstorf;Niedersachsen;52.7050274067317, 8.504699625922768;Hydrogeothermie;;;;;;;;;;;;;;;;;;Wintershall Dea Deutschland GmbH;;;;
D_Projekt in Planung;Bad Bentheim;"""Bentheimer Wald""";Bentheimer Wald;Niedersachsen;52.31746797270104, 7.18581568894619;Hydrogeothermie;;;;;;;;;14.06.2027.;;;;;;;;;"	NDEWG GmbH";;;;
D_Projekt in Planung;Wörth;"""Bertha""";"Wörth ""Bertha""";Rheinland-Pfalz;49.05032719932745, 8.261449586874713;Hydrogeothermie;;;;;;;;;;;;;;;;;https://mbpassion.de/2023/10/daimler-truck-will-in-woerth-ueber-geothermie-waerme-gewinnen/;Daimler Truck AG;;;;
D_Projekt in Planung;Kandel ;"""Bienwald""";"Kandel ""Bienwald""";Rheinland-Pfalz;49.07772350346744, 8.210586214781236;Hydrogeothermie;;;;;;;;;;;;;;;;;;Deutsche ErdWärme GmbH;;;;
D_Projekt in Planung;Bissendorf;"""Bissendorf""";Bissendorf;Niedersachsen;52.49530012213466, 9.674800512868208;Hydrogeothermie;;;;;;;;;;;;;;;;;;Eavor GmbH;;;;
D_Projekt in Planung;Borkum;"""Borkum I""";Borkum;Niedersachsen;53.58177902984293, 6.663389159218392;Hydrogeothermie;;;;;;;;;;;;;;;;;;Nordseeheilbad Borkum GmbH;;;;
D_Projekt in Planung;Braunschweig;"""Braunschweig V""";Braunschweig ;Niedersachsen;52.267331549145354, 10.523076226129794;Hydrogeothermie;;;;;;;;;;;;;;;;;;BS/ENERGY Braunschweiger Versorgungs- Aktiengesellschaft & Co. KG;;;;
D_Projekt in Planung;Hannover;"""Buchholz""";"Hannover ""Buchholz"" ";Niedersachsen;52.405053, 9.828652;Geschlossenes tiefengeothermisches System;;;;;;;;;;;;;;;;;;Eavor GmbH;;;;
D_Projekt in Planung;Burgwedel;"""Burgwedel""";Burgwedel;Niedersachsen;52.50074386912639, 9.897148634542758;Hydrogeothermie;;;;;;;;;;;;;;;;;;NDEWG GmbH;;;;
D_Projekt in Planung;Hagenbach ;"""Catharina Werde""";"Hagenbach ""Catharina Werde""";Rheinland-Pfalz;49.019931910804154, 8.251203009341912;Hydrogeothermie;;;;;;;;;;;;;;;;;;Neue Energie Wörth GmbH;;;;
D_Projekt in Planung;Duisburg;"""Duisburg""";Duisburg;Nordrhein-Westfalen;51.43712636153094, 6.768430344532964;Hydrogeothermie;;;;;;;;;06.08.2022 bis 05.08.2025;;;;;;;;;Stadtwerke Duisburg Aktiengesellschaft;;;;
D_Projekt in Planung;Düsseldorf;"""Düsseldorf""";Düsseldorf;Nordrhein-Westfalen;51.237132, 6.782666;Hydrogeothermie;;;;;;;;;02.07.2022 bis 01.07.2025;;;;;;;;https://www.duesseldorf.de/umweltamt/umwelt-und-verbraucherthemen-von-a-z/tiefengeothermie.html;Stadtwerke Düsseldorf AG;;;;
D_Projekt in Planung;Eich-Hamm;"""Eich-Hamm""";Eich-Hamm;Rheinland-Pfalz;49.74262266789378, 8.415054268737949;Hydrogeothermie;;;;;;;;;;;;;;;;;;Zukunft Geowärme GmbH;;;;
D_Projekt in Planung;Neukirchen-Vluyn;"""ENNI Geothermie""";"Neukirchen-Vluyn ""ENNI Geothermie""";Nordrhein-Westfalen;51.443674, 6.548829;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Oberhausen;"""evo GeoTherm""";"Oberhausen ""evo Geotherm""";Nordrhein-Westfalen;51.504352, 6.855186;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Garbsen;"""Garbsen""";Garbsen;Niedersachsen;52.42702492320163, 9.598757900805719;Hydrogeothermie;;;;;;;;;;;;;;;;;;Wärmeversorgung Garbsen GmbH;;;;
D_Projekt in Planung;Gelderland;"""Gelderland-Süd""";Gelderland-Süd;Nordrhein-Westfalen;51.435852, 6.269659;Hydrogeothermie;;;;;;;;;;;;;;;;;;;;;;
D_Projekt in Planung;Aachen;"""GEObservatorium Aachen""";Aachen ;Nordrhein-Westfalen;50.766245, 6.179830;Forschung;;;;;;;;;18.07.2022 bis 17.07.2027;;;;;;;;;"GEObservatorium Aachen, RWTH AACHEN UNIVERSITY	";;;;
D_Projekt in Planung;Aachen;"""Geothermie-Aachen""";"""Geothermie-Aachen""";Nordrhein-Westfalen;50.7771, 6.0851;Hydrogeothermie;;;;;;;;;21.04.2023-20.04.2028;;;;;;;;;;;;;
D_Projekt in Planung;Göttingen ;"""Göttingen I""";Göttingen ;Niedersachsen;51.55281238856508, 9.987586968799993;Forschung;;;;;;;;;;;;;;;;;;"	Stadtwerke Göttingen AG";;;;
D_Projekt in Planung;Harthausen;"""Grumbeere""";"Harthausen ""Grumbeere""";Rheinland-Pfalz;49.27457481089342, 8.396897251256947;Hydrogeothermie;;;;;;;;;;;;;;;;;;Eavor GmbH;;;;
D_Projekt in Planung;Münster;"""Grüne-Wärme-Münster""";Münster;Nordrhein-Westfalen;51.958718, 7.626996;Hydrogeothermie;;;;;;;;2030;;;;;;;;;;;;;;
D_Projekt in Planung;Taching am See;"""GT Törring II"" ";Taching am See;Bayern;47.93596493834527, 12.870245335646182;Hydrogeothermie;;;;;;;;;30.04.2028;;;;;;;;;Geoenergie Bayern Projekt Törring GmbH & Co. KG;;;;
D_Projekt in Planung;Weilheim ;"""Hardtwiese""";"Weilheim ""Hardtwiese""";Bayern;47.86731651868918, 11.197270018268414;Hydrogeothermie;;;;;;;;;30.09.2026;;;;;;;;Eavor GmbH;;;;;
D_Projekt in Planung;Weyhe;"""Hemelingen""";Weyhe;Niedersachsen;52.9835928966011, 8.850545500093414;Hydrogeothermie;;;;;;;;;;;;;;;;;;Gemeinde Weyhe;;;;
D_Projekt in Planung;Hemmingen-Gehrden;"""Hemmingen-Gehrden""";Hemmingen-Gehrden;Niedersachsen;52.30445820247897, 9.627616524963441;Hydrogeothermie;;;;;;;;;;;;;;;;;;Deutz Erdgas GmbH & Co KG;;;;
D_Projekt in Planung;Horstberg;"""Horstberg (neu)""";"""Horstberg (neu)""";Niedersachsen;52.92726525447614, 10.31869745992935;Hydrogeothermie;;;;;;;;;;;;;;;;;;Bundesanstalt für Geowissenschaften und Rohstoffe;;;;
D_Projekt in Planung;Husum;"""Husum""";Husum;Schleswig-Holstein;54.485220, 9.056564;Hydrogeothermie;;;;;;;;;;;;;;;;;;Stadtwerke Husum GmbH;;;;
